Song Name,Language,Hit Year,Song Artist,Source,Decade
Me vuelvo loco,ES,1979,Tequila,Los$40$,1970
No lastimes mas,ES,1979,Rocio Durcal,Los$40$,1970
One chain,EN,1979,Santana,Los$40$,1970
Que no,ES,1979,Pedro Marin,Los Superventas,1970
Quien sera,ES,1979,Camilo sesto,Los$40$,1970
Reunited,EN,1979,Peaches & Herb,Los Superventas,1970
Ring my bell,EN,1979,Anita Ward,Los Superventas,1970
Sgt Pepper's lonely hearts club band,EN,1979,The Beatles,Los$40$,1970
Shine a Little love,EN,1979,Electric Light Orchestra,Los Superventas,1970
Sin amor,ES,1979,Ivan,Los Superventas,1970
Solo pienso en ti,ES,1979,Victor Manuel,Los Superventas,1970
Soy un corazon tendido al sol,ES,1979,Victor Manuel,Los$40$,1970
Super superman,EN,1979,Miguel Bose,Los Superventas,1970
Too much heaven,EN,1979,Bee Gees,Los Superventas,1970
Tragedy,EN,1979,Bee Gees,Los Superventas,1970
Una historia,ES,1979,Triana,Los$40$,1970
YMCA,EN,1979,Village People,Los$40$,1970
Aire,ES,1980,Pedro Marin,Los$40$,1980
Bailad,ES,1980,Red de san luis,Los$40$,1980
Can't stop the music,EN,1980,Village People,Los$40$,1980
Como yo te amo,ES,1980,Rocio Jurado,Los$40$,1980
Desde mi libertad,ES,1980,Ana Belen,Los$40$,1980
Desire,EN,1980,Andy Gibb,Los$40$,1980
Dime que me quieres,ES,1980,Tequila,Los$40$,1980
Don't stand so close to me,EN,1980,The police,Los$40$,1980
Emotional rescue,EN,1980,The Rolling Stones,Los$40$,1980
Funky town,EN,1980,Lipps INC,Los Superventas,1980
Hablame de ti,ES,1980,Pecos,Los Superventas,1980
Hey,ES,1980,Julio Iglesias,Los Superventas,1980
La culpa ha sido mia,ES,1980,Camilo sesto,Los$40$,1980
La quiero a morir,ES,1980,Francis cabrel,Los Superventas,1980
Lloras,ES,1980,Don McLean,Los$40$,1980
Man gave names to all the animals,EN,1980,Bob Dylan,Los Superventas,1980
Memorize your number,EN,1980,Leif Garret,Los$40$,1980
Message in a bottle,EN,1980,The police,Los Superventas,1980
Morir de amor,ES,1980,Miguel Bose,Los Superventas,1980
My turn to love you,EN,1980,Eddy Grant,Los$40$,1980
Perdoname,ES,1980,Camilo sesto,Los$40$,1980
Quien puso mas,ES,1980,Victor Manuel,Los$40$,1980
Rapper's delight,EN,1980,Sugarhill gang,Los Superventas,1980
Santa Lucia,ES,1980,Miguel Rios,Los$40$,1980
Shandi,EN,1980,Kiss,Los$40$,1980
Sin amor,ES,1980,Ivan,Los Superventas,1980
Sun of Jamaica,EN,1980,Goombay Dance Band,Los Superventas,1980
Te amare,ES,1980,Miguel Bose,Los Superventas,1980
Tu frialdad,ES,1980,Triana,Los$40$,1980
Ven,ES,1980,Paolo Savatore,Los$40$,1980
Video killed the radio star,EN,1980,Buggles,Los Superventas,1980
Woman in love,EN,1980,Barbara Streisand,Los Superventas,1980
Xanadu,EN,1980,"olivia newatonjohn, elo",Los Superventas,1980
Amar es algo mas,ES,1981,Jose Luis Rodriguez,Los$40$,1980
Amor no me ignores,ES,1981,Camilo sesto,Los$40$,1980
Another one bites the dust,EN,1981,Queen,Los Superventas,1980
Bette Davis eyes,EN,1981,Kim Carnes,Los Superventas,1980
Caperucita feroz,ES,1981,Orquesta mondragon,Los Superventas,1980
Champu de huevo,ES,1981,Tino Casal,Los$40$,1980
De niña a mujer,ES,1981,Julio Iglesias,Los Superventas,1980
El baile de los pajaritos,ES,1981,maría jesús grados ventura,Los$40$,1980
Everybody’s Got to Learn Sometime,EN,1981,The korgis,Los Superventas,1980
Hands up,EN,1981,Ottawan,Los Superventas,1980
Hold on tonight,EN,1981,Electric light orchestra,Los Superventas,1980
I surrender,EN,1981,Rainbow,Los$40$,1980
johnny  mary,EN,1981,Robert Palmer,Los Superventas,1980
Jugando a vivir,ES,1981,Miguel Rios,Los$40$,1980
Juntos,ES,1981,Paloma san basilio,Los$40$,1980
Lady,EN,1981,Kenny Rogers,Los$40$,1980
Las chicas son guerreras,ES,1981,Coz,Los$40$,1980
Looking for clues,EN,1981,Robert Palmer,Los$40$,1980
Ma quale idea,IT,1981,Pino d'angio,Los$40$,1980
Marchate ya,ES,1981,Miguel Bose,Los Superventas,1980
No hago otra cosa que pensar en ti,ES,1981,Joan Manuel Serrat,Los$40$,1980
No llores por mi Argentina,ES,1981,Paloma san basilio,Los$40$,1980
No me hables,ES,1981,Juan Pardo,Los$40$,1980
Pavo real,ES,1981,Jose Luis Rodriguez,Los$40$,1980
Que sera,ES,1981,Ana Belen,Los Superventas,1980
Querer y perder,ES,1981,Dyango,Los$40$,1980
Rapture,EN,1981,Blondie,Los$40$,1980
Salta,ES,1981,Tequila,Los$40$,1980
Señor,ES,1981,Los pecos,Los$40$,1980
Something 'bout you baby I like,EN,1981,Status Quo,Los$40$,1980
Stars on 45,EN,1981,Stars on 45,Los Superventas,1980
Start me up,EN,1981,The Rolling Stones,Los$40$,1980
Starting over,EN,1981,John Lennon,Los Superventas,1980
